Month,VendorID,VendorName,CertificationType,CertExpiryDate,IsCompliant,Client,Sector,Region,Spend,PerformanceScore
2025-01-01,V1000,Summit Supply Co,MBE,2026-01-01,1,Client 018,Finance,Northeast,23677.84,83.9
2025-01-01,V1000,Summit Supply Co,MBE,2025-07-20,1,Client 009,Finance,Northeast,6501.41,87.6
2025-01-01,V1000,Summit Supply Co,MBE,2026-01-01,1,Client 024,Finance,Northeast,44661.15,91.1
2025-01-01,V1001,Vertex Industrial,WBE,2026-01-01,1,Client 005,Aviation,Southeast,10621.76,80.8
2025-01-01,V1002,BlueRiver Logistics,MBE,2025-03-02,1,Client 004,Healthcare,Southwest,19954.34,69.7
2025-01-01,V1003,Novaline Systems,SME,2025-07-20,1,Client 014,Healthcare,West,28971.81,72.8
2025-01-01,V1003,Novaline Systems,SME,2025-07-20,1,Client 020,Healthcare,West,7925.49,73.7
2025-01-01,V1003,Novaline Systems,SME,2026-01-01,1,Client 003,Healthcare,West,10187.62,89.8
2025-01-01,V1005,Pinnacle Health Supply,WBE,2024-12-02,0,Client 001,Healthcare,Southwest,10955.78,85.9
2025-01-01,V1005,Pinnacle Health Supply,WBE,2026-05-16,1,Client 022,Healthcare,Southwest,10447.22,92.6
2025-01-01,V1005,Pinnacle Health Supply,WBE,2026-01-01,1,Client 024,Healthcare,Southwest,10434.21,99.8
2025-01-01,V1008,Solstice Consulting,MBE,2025-07-20,1,Client 014,Manufacturing,Southeast,11055.34,85.0
2025-01-01,V1008,Solstice Consulting,MBE,2024-12-02,0,Client 006,Manufacturing,Southeast,29079.81,75.2
2025-01-01,V1011,Redwood Facilities Group,MBE,2024-12-02,0,Client 025,Healthcare,West,79352.41,94.5
2025-01-01,V1011,Redwood Facilities Group,MBE,2026-05-16,1,Client 006,Healthcare,West,27614.69,86.4
2025-01-01,V1011,Redwood Facilities Group,MBE,2025-05-01,1,Client 017,Healthcare,West,7196.02,72.3
2025-01-01,V1013,Brightpath Staffing,MBE,2025-05-01,1,Client 005,Healthcare,West,11748.55,93.5
2025-01-01,V1015,Apex Diversity Partners,SME,2025-07-20,1,Client 001,Aviation,Midwest,6380.24,86.1
2025-01-01,V1015,Apex Diversity Partners,SME,2024-12-02,0,Client 020,Aviation,Midwest,9775.33,89.9
2025-01-01,V1015,Apex Diversity Partners,SME,2024-12-02,0,Client 011,Aviation,Midwest,25022.71,92.1
2025-01-01,V1019,Granite Industrial Services,DOBE,2026-01-01,1,Client 008,Aviation,Midwest,8449.35,82.5
2025-01-01,V1021,Fusion Metalworks,VOB,2026-01-01,1,Client 003,Aviation,Northeast,4241.9,93.8
2025-01-01,V1021,Fusion Metalworks,VOB,2025-03-02,1,Client 025,Aviation,Northeast,6537.69,75.4
2025-01-01,V1022,Beacon Financial Services,SME,2025-05-01,1,Client 018,Aviation,Southeast,29297.51,87.4
2025-01-01,V1022,Beacon Financial Services,SME,2026-01-01,1,Client 006,Aviation,Southeast,21650.68,79.8
2025-01-01,V1024,Momentum Facility Services,SME,2026-05-16,1,Client 018,Finance,Southeast,42713.26,87.7
2025-01-01,V1025,Crestline Consulting,MBE,2026-05-16,1,Client 010,Healthcare,Southeast,789.37,91.6
2025-01-01,V1025,Crestline Consulting,MBE,2025-05-01,1,Client 013,Healthcare,Southeast,4696.39,93.3
2025-01-01,V1025,Crestline Consulting,MBE,2025-07-20,1,Client 022,Healthcare,Southeast,14241.02,87.9
2025-01-01,V1027,Northgate Industrial,MBE,2024-12-02,0,Client 008,Finance,Southeast,8843.85,90.9
2025-01-01,V1028,Argus Health Products,WBE,2025-03-02,1,Client 018,Manufacturing,West,8690.54,81.0
2025-01-01,V1028,Argus Health Products,WBE,2024-12-02,0,Client 008,Manufacturing,West,23751.09,94.3
2025-01-01,V1028,Argus Health Products,WBE,2024-12-02,0,Client 019,Manufacturing,West,11091.55,89.1
2025-01-01,V1029,Pioneer Fabricators,DOBE,2024-12-02,0,Client 008,Finance,Southeast,39944.81,86.4
2025-02-01,V1002,BlueRiver Logistics,MBE,2026-06-16,1,Client 009,Healthcare,Southwest,9561.53,82.4
2025-02-01,V1003,Novaline Systems,SME,2026-02-01,1,Client 005,Healthcare,West,37833.63,82.7
2025-02-01,V1003,Novaline Systems,SME,2025-08-20,1,Client 024,Healthcare,West,16862.96,83.1
2025-02-01,V1003,Novaline Systems,SME,2025-04-02,1,Client 019,Healthcare,West,12390.8,82.7
2025-02-01,V1006,Meridian Aviation Parts,SME,2025-08-20,1,Client 022,Manufacturing,Southeast,14893.79,88.2
2025-02-01,V1007,Union Fabrication,WBE,2025-01-02,0,Client 015,Finance,West,7667.3,96.2
2025-02-01,V1007,Union Fabrication,WBE,2026-06-16,1,Client 024,Finance,West,2527.67,84.8
2025-02-01,V1008,Solstice Consulting,MBE,2026-06-16,1,Client 004,Manufacturing,Southeast,18090.19,81.5
2025-02-01,V1008,Solstice Consulting,MBE,2025-06-01,1,Client 002,Manufacturing,Southeast,14543.94,87.4
2025-02-01,V1008,Solstice Consulting,MBE,2025-01-02,0,Client 013,Manufacturing,Southeast,21334.56,84.9
2025-02-01,V1009,Ironclad Materials,VOB,2025-08-20,1,Client 018,Aviation,Midwest,35134.82,91.0
2025-02-01,V1010,Harbor Tech Solutions,WBE,2025-08-20,1,Client 009,Healthcare,Midwest,8743.46,96.1
2025-02-01,V1011,Redwood Facilities Group,MBE,2026-02-01,1,Client 015,Healthcare,West,25098.71,100.0
2025-02-01,V1012,Falcon Aerospace Supply,VOB,2025-04-02,1,Client 018,Finance,Midwest,11433.7,92.4
2025-02-01,V1012,Falcon Aerospace Supply,VOB,2025-04-02,1,Client 001,Finance,Midwest,18055.38,81.0
2025-02-01,V1012,Falcon Aerospace Supply,VOB,2025-08-20,1,Client 003,Finance,Midwest,16912.69,82.1
2025-02-01,V1013,Brightpath Staffing,MBE,2025-01-02,0,Client 013,Healthcare,West,6830.54,88.8
2025-02-01,V1014,Continental Machine Works,DOBE,2025-06-01,1,Client 013,Finance,Northeast,25644.01,83.7
2025-02-01,V1017,TrueNorth Manufacturing,VOB,2026-06-16,1,Client 024,Aviation,Northeast,8892.07,82.4
2025-02-01,V1017,TrueNorth Manufacturing,VOB,2025-08-20,1,Client 018,Aviation,Northeast,12784.07,89.4
2025-02-01,V1017,TrueNorth Manufacturing,VOB,2025-04-02,1,Client 022,Aviation,Northeast,19755.01,95.5
2025-02-01,V1018,Coastal Medical Supply,MBE,2026-02-01,1,Client 002,Finance,West,13117.5,83.4
2025-02-01,V1019,Granite Industrial Services,DOBE,2025-06-01,1,Client 024,Aviation,Midwest,20202.51,91.3
2025-02-01,V1020,Zenith Airparts,VOB,2025-01-02,0,Client 016,Aviation,Midwest,38378.39,78.1
